,rule,precision,recall
39,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Embarked', value=1.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Pclass', value=2.0)]",1.0,0.00909090909090909
40,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Parch', value=2.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Age', value=1.0)]",1.0,0.007575757575757576
41,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Parch', value=0.0)]",1.0,0.015267175572519083
42,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Fare', value=1.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Age', value=1.0)]",1.0,0.01937984496124031
43,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0)]",1.0,0.007905138339920948
44,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=1.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Pclass', value=0.0)]",1.0,0.007339449541284404
45,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.035856573705179286
46,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Embarked', value=2.0)]",1.0,0.01652892561983471
47,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='SibSp', value=1.0)]",1.0,0.01680672268907563
48,"[Rule(attribute='Embarked', value=1.0), Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Parch', value=0.0)]",1.0,0.0073937153419593345
49,"[Rule(attribute='Embarked', value=1.0), Rule(attribute='SibSp', value=2.0), Rule(attribute='Age', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Pclass', value=2.0)]",1.0,0.008547008547008548
50,"[Rule(attribute='Sex', value=1.0), Rule(attribute='SibSp', value=2.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Age', value=1.0)]",1.0,0.0074487895716946
51,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='SibSp', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Pclass', value=1.0)]",1.0,0.0075046904315197
52,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.007561436672967864
53,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Fare', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Pclass', value=0.0)]",1.0,0.008620689655172414
54,"[Rule(attribute='Parch', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Sex', value=1.0)]",1.0,0.007619047619047619
55,"[Rule(attribute='Parch', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Sex', value=1.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Pclass', value=0.0)]",1.0,0.007677543186180422
56,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=1.0)]",1.0,0.013043478260869565
57,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.013215859030837005
58,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Age', value=2.0)]",1.0,0.017857142857142856
59,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Parch', value=0.0)]",1.0,0.03636363636363636
60,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Age', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=0.0)]",1.0,0.009433962264150943
61,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Embarked', value=0.0)]",1.0,0.009671179883945842
62,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.009523809523809525
63,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=1.0), Rule(attribute='Pclass', value=0.0)]",1.0,0.0078125
64,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Parch', value=0.0)]",1.0,0.015748031496062992
65,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Fare', value=0.0)]",1.0,0.009615384615384616
66,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Age', value=1.0)]",0.9444444444444444,0.0825242718446602
67,"[Rule(attribute='Embarked', value=1.0), Rule(attribute='Sex', value=1.0), Rule(attribute='Fare', value=0.0)]",0.9375,0.06012024048096192
